Query,Best Match
01autauga,01autauga
01baldwin,01baldwin
01barbour,01barbour
01bibb,01bibb
01blount,01blount
01bullock,01bullock
01butler,01butler
01calhoun,01calhoun
01chambers,01chambers
01cherokee,01cherokee
01chilton,01chilton
01choctaw,01choctaw
01clarke,01clarke
01clay,01clay
01cleburne,01cleburne
01coffee,01coffee
01colbert,01colbert
01conecuh,01conecuh
01coosa,01coosa
01covington,01covington
01crenshaw,01crenshaw
01cullman,01cullman
01dale,01dale
01dallas,01dallas
01dekalb,01dekalb
01elmore,01elmore
01escambia,01escambia
01etowah,01etowah
01fayette,01fayette
01franklin,01franklin
01geneva,01geneva
01greene,01greene
01hale,01hale
01henry,01henry
01houston,01houston
01jackson,01jackson
01jefferson,01jefferson
01lamar,01lamar
01lauderdale,01lauderdale
01lawrence,01lawrence
01lee,01lee
01limestone,01limestone
01lowndes,01lowndes
01macon,01macon
01madison,01madison
01marengo,01marengo
01marion,01marion
01marshall,01marshall
01mobile,01mobile
01monroe,01monroe
01montgomery,01montgomery
01morgan,01morgan
01perry,01perry
01pickens,01pickens
01pike,01pike
01randolph,01randolph
01russell,01russell
01shelby,01shelby
01st. clair,01st.clair
01sumter,01sumter
01talladega,01talladega
01tallapoosa,01tallapoosa
01tuscaloosa,01tuscaloosa
01walker,01walker
01washington,01washington
01wilcox,01wilcox
01winston,01winston
02aleutians east borough,02aleutianswest
02aleutians west census area,02aleutianswest
02anchorage municipality,02anchorage
02bethel census area,02bethel
02bristol bay borough,02bristolbay
02chugach census area,02denali
02copper river census area,02dillingham
02denali borough,02denali
02dillingham census area,02dillingham
02fairbanks north star borough,02fairbanksnorthstar
02haines borough,02haines
02hoonah-angoon census area,02hoonah-angoon
02juneau city and borough,02juneau
02kenai peninsula borough,02kenaipeninsula
02ketchikan gateway borough,02ketchikangateway
02kodiak island borough,02kodiakisland
02kusilvak census area,02kodiakisland
02lake and peninsula borough,02lakeandpeninsula
02matanuska-susitna borough,02matanuska-susitna
02nome census area,02nome
02north slope borough,02northwestarctic
02northwest arctic borough,02northwestarctic
02petersburg borough,02princeofwales-hyder
02prince of wales-hyder census area,02princeofwales-hyder
02sitka city and borough,02sitka
02skagway municipality,02sitka
02southeast fairbanks census area,02southeastfairbanks
02wrangell city and borough,02wadehampton
02yakutat city and borough,02yakutat
02yukon-koyukuk census area,02yukon-koyukuk
04apache,04apache
04cochise,04cochise
04coconino,04coconino
04gila,04gila
04graham,04graham
04greenlee,04greenlee
04la paz,04lapaz
04maricopa,04maricopa
04mohave,04mohave
04navajo,04navajo
04pima,04pima
04pinal,04pinal
04santa cruz,04santacruz
04yavapai,04yavapai
04yuma,04yuma
05arkansas,05arkansas
05ashley,05ashley
05baxter,05baxter
05benton,05benton
05boone,05boone
05bradley,05bradley
05calhoun,05calhoun
05carroll,05carroll
05chicot,05chicot
05clark,05clark
05clay,05clay
05cleburne,05cleburne
05cleveland,05cleveland
05columbia,05columbia
05conway,05conway
05craighead,05craighead
05crawford,05crawford
05crittenden,05crittenden
05cross,05cross
05dallas,05dallas
05desha,05desha
05drew,05drew
05faulkner,05faulkner
05franklin,05franklin
05fulton,05fulton
05garland,05garland
05grant,05grant
05greene,05greene
05hempstead,05hempstead
05hot spring,05hotspring
05howard,05howard
05independence,05independence
05izard,05izard
05jackson,05jackson
05jefferson,05jefferson
05johnson,05johnson
05lafayette,05lafayette
05lawrence,05lawrence
05lee,05lee
05lincoln,05lincoln
05little river,05littleriver
05logan,05logan
05lonoke,05lonoke
05madison,05madison
05marion,05marion
05miller,05miller
05mississippi,05mississippi
05monroe,05monroe
05montgomery,05montgomery
05nevada,05nevada
05newton,05newton
05ouachita,05ouachita
05perry,05perry
05phillips,05phillips
05pike,05pike
05poinsett,05poinsett
05polk,05polk
05pope,05pope
05prairie,05prairie
05pulaski,05pulaski
05randolph,05randolph
05saline,05saline
05scott,05scott
05searcy,05searcy
05sebastian,05sebastian
05sevier,05sevier
05sharp,05sharp
05st. francis,05st.francis
05stone,05stone
05union,05union
05van buren,05vanburen
05washington,05washington
05white,05white
05woodruff,05woodruff
05yell,05yell
06alameda,06alameda
06alpine,06alpine
06amador,06amador
06butte,06butte
06calaveras,06calaveras
06colusa,06colusa
06contra costa,06contracosta
06del norte,06delnorte
06el dorado,06eldorado
06fresno,06fresno
06glenn,06glenn
06humboldt,06humboldt
06imperial,06imperial
06inyo,06inyo
06kern,06kern
06kings,06kings
06lake,06lake
06lassen,06lassen
06los angeles,06losangeles
06madera,06madera
06marin,06marin
06mariposa,06mariposa
06mendocino,06mendocino
06merced,06merced
06modoc,06modoc
06mono,06mono
06monterey,06monterey
06napa,06napa
06nevada,06nevada
06orange,06orange
06placer,06placer
06plumas,06plumas
06riverside,06riverside
06sacramento,06sacramento
06san benito,06sanbenito
06san bernardino,06santabarbara
06san diego,06sanmateo
06san francisco,06sanmateo
06san joaquin,06sanmateo
06san luis obispo,06sanmateo
06san mateo,06sanfrancisco
06santa barbara,06santabarbara
06santa clara,06santaclara
06santa cruz,06santaclara
06shasta,06shasta
06sierra,06sierra
06siskiyou,06siskiyou
06solano,06solano
06sonoma,06sonoma
06stanislaus,06stanislaus
06sutter,06sutter
06tehama,06tehama
06trinity,06trinity
06tulare,06tulare
06tuolumne,06tuolumne
06ventura,06ventura
06yolo,06yolo
06yuba,06yuba
08adams,08adams
08alamosa,08alamosa
08arapahoe,08arapahoe
08archuleta,08archuleta
08baca,08baca
08bent,08bent
08boulder,08boulder
08broomfield,08broomfield
08chaffee,08chaffee
08cheyenne,08cheyenne
08clear creek,08clearcreek
08conejos,08conejos
08costilla,08costilla
08crowley,08crowley
08custer,08custer
08delta,08delta
08denver,08denver
08dolores,08dolores
08douglas,08douglas
